Name,School,Rating,School_key,Conf,conf_z,Rating_conf
Will Richard,Florida,80.6925833333334,florida,SEC,2.0829954257165264,86.4542518872902
Wooga Poplar,Villanova,80.6768499999999,villanova,Big East,2.0829954257165264,86.4304832851303
V.J. Edgecombe,Baylor,81.42765,baylor,B12,1.7207353516788697,86.39409996695993
Daniel Batcho,Louisiana Tech,85.8061666666666,louisianatech,CUSA,0.27169505552824263,86.37940691898778
Tamar Bates,Missouri,80.6244666666666,missouri,SEC,2.0829954257165264,86.35140881682788
Silas Demary Jr.,Georgia,80.5752166666667,georgia,SEC,2.0829954257165264,86.27715086358808
Ian Martinez,Utah St.,82.4920166666666,utahst,Mountain West,1.2377219196286608,86.23394878701774
Andersson Garcia,Texas A&M,80.49085,texasam,SEC,2.0829954257165264,86.15013936248604
Samson Johnson,Connecticut,80.4894333333334,connecticut,Big East,2.0829954257165264,86.14800870518425
Latrell Wrightsell Jr.,Alabama,80.47405,alabama,SEC,2.0829954257165264,86.1248767150835
KJ Lewis,Arizona,81.2220166666666,arizona,B12,1.7207353516788697,86.10036023015016
Lynn Kidd,Miami FL,81.17375,miamifl,ACC,1.7207353516788697,86.03158680133883
Christian Anderson,Texas Tech,81.1616999999999,texastech,B12,1.7207353516788697,86.01442745225529
Marcus Williams,San Francisco,84.0745833333333,sanfrancisco,WCC,0.6339551295658994,85.96809476185703
Bryce Hopkins,Providence,80.3229666666666,providence,Big East,2.0829954257165264,85.89812301040656
Jaland Lowe,Pittsburgh,81.0786833333333,pittsburgh,ACC,1.7207353516788697,85.89632184551718
David Joplin,Marquette,80.3064833333334,marquette,Big East,2.0829954257165264,85.87343115650035
Eddie Lampkin,Syracuse,81.0502666666667,syracuse,ACC,1.7207353516788697,85.85593871769093
Brock Harding,Iowa,80.2354500000001,iowa,Big Ten,2.0829954257165264,85.7671297746401
Lamont Butler,Kentucky,80.2350666666667,kentucky,SEC,2.0829954257165264,85.76655658144321
