"Name","School","Rating"
"Liatu King","Notre Dame Fighting Irish",69.5358087784251
"Molly Mogensen","Creighton Bluejays",69.5257325395401
"Ta'Mia Scott","Middle Tennessee Blue Raiders",69.5200748542593
"Ronnie Porter","Wisconsin Badgers",69.504131579661
"Kayla Presley","Texas Lutheran Bulldogs",69.4910805647232
"Emma Smith","Denver Pioneers",69.4706997933822
"Mia Nicastro","Western Illinois Leathernecks",69.4512482195966
"Madison Conner","TCU Horned Frogs",69.4441933823302
"Jerkaila Jordan","Mississippi State Bulldogs",69.4166437486324
"Allyson Fertig","Wyoming Cowgirls",69.4120886556267
"Jackie Grisdale","Quinnipiac Bobcats",69.3981378816753
"Ava Learn","Murray State Racers",69.3970737066204
"Benthe Versteeg","Sacramento State Hornets",69.3867662961126
"Flau'jae Johnson","LSU Tigers",69.3583629051308
"Hannah Stines","Washington Huskies",69.3438444581251
"Ryley Goebel","Northern Iowa Panthers",69.3298297754628
"Molly Heard","Lipscomb Bisons",69.3289691780399
"Maya Hernandez","Loyola Marymount Lions",69.2838172116335
"Nina De Leon Negron","UTSA Roadrunners",69.2729079493278
"Kelsey Ransom","Georgetown Hoyas",69.2683501110687
"Megan Olbrys","Massachusetts Minutewomen",69.2682646342261
"Maddie Albrecht","Lehigh Mountain Hawks",69.2525695609601
"Destiny Brown","Alcorn State Lady Braves",69.2423585892814
"Stailee Heard","Oklahoma State Cowgirls",69.2374376696414
"Katie Collins","Pennsylvania Quakers",69.200631962967
"Talaysia Cooper","Tennessee Lady Volunteers",69.1991853686453
"Chloe Hodges","Drexel Dragons",69.1645132428236
"Hannah Ronsiek","Colorado State Rams",69.1544604023987
"Jaloni Cambridge","Ohio State Buckeyes",69.1473447206417
"Kendall Bostic","Illinois Fighting Illini",69.1457427774837
"Camryn Tade","Army Black Knights",69.1415969707185
"Chloe Clardy","Stanford Cardinal",69.1211529657602
"Amber Tretter","Miami (OH) RedHawks",69.1143421232536
"Chelby Koker","Northern Illinois Huskies",69.1125146273992
"Gemma Nunez","Campbell Fighting Camels",69.0989013229881
"Halle Vice","Marquette Golden Eagles",69.0922473392754
"Asia Avinger","Georgia Lady Bulldogs",69.0829530393554
"Hope Hassmann","Idaho Vandals",69.0668710635072
"Zyanna Walker","Kansas State Wildcats",69.0611106486556
"Karly Weathers","Alabama Crimson Tide",69.0538667635864
"Amelia Hassett","Kentucky Wildcats",69.0329966660042
"DeYona Gaston","Auburn Tigers",69.029836035252
"Abby Antognoli","Lafayette Leopards",69.0102927299675
"Lexi Donarski","North Carolina Tar Heels",69.0005544248982
"Saniah Parker","Tennessee State Lady Tigers",68.9917885089797
"Kennedy Johnson","Saint Mary's Gaels",68.9875728489345
"Mihjae Hayes","Virginia St Trojans",68.9796931368926
"JJ Quinerly","West Virginia Mountaineers",68.9720929567853
"Jada Burton","Western Carolina Catamounts",68.9618896352367
"Elena Bosgana","Stanford Cardinal",68.9540997209529
"Charity Gallegos","North Alabama Lions",68.9440326212588
"Shawntenna Tillman","Coker Cobras",68.9312240542268
"Teonni Key","Kentucky Wildcats",68.9024780334076
"Saniyah King","Howard Bison",68.876215209924
"Julia Ayrault","Michigan State Spartans",68.8731062349534
"Khadija Faye","Pittsburgh Panthers",68.8698910117482
"Crystal Henderson","Georgia State Panthers",68.8643720339287
"Skylar Forbes","Marquette Golden Eagles",68.8608454611402
"Emilee Weakley","Frostburg State Bobcats",68.8409887145222
"Laila Lawrence","Coppin State Eagles",68.8382398202936
"Ruby Santos","Saint Michael's Purple Knights",68.8094933776598
"Izzy Higginbottom","Arkansas Razorbacks",68.7934173943403
"Abrie Cabana","Grand Valley State Lakers",68.790907310747
"Angelina Dimarsico","Dominican (NY) Chargers",68.7845118870126
"Jayda McNabb","Air Force Falcons",68.7706272742718
"Bella Vito","Vermont Catamounts",68.7639246289957
"Stefanie Ingram","Florida Atlantic Owls",68.7351447561974
"Brooke Coffey","Lindenwood Lions",68.698208913568
"Deja Kelly","Oregon Ducks",68.6897472036768
"Vanessa Shafford","Southern Indiana Screaming Eagles",68.6833491985737
"Genesis Bryant","Illinois Fighting Illini",68.6699538275742
"Amari Whiting","BYU Cougars",68.6691802232332
"Carys Baker","Virginia Tech Hokies",68.6499511513951
"Mia Jacobs","Fresno State Bulldogs",68.6493721062932
"Catherine Or","Carnegie Mellon Tartans",68.6120311171291
"Halli Poock","Murray State Racers",68.5907349336791
"La'Nya Foster","Austin Peay Governors",68.5821178450193
"Sarah Lamet","Saint Martin's Saints",68.5770903906878
"Latasha Lattimore","Virginia Cavaliers",68.5757628943015
"Ellie Brueggemann","Lindenwood Lions",68.5645279272271
"Mataya Gayle","Pennsylvania Quakers",68.541425630352
"Abaigeal Babore","Fairleigh Dickinson Knights",68.522502402866
"Fadima Tall","Princeton Tigers",68.5019902777814
"Avery Collins","Concordia-Ann Arbor Cardinals",68.4825151097503
"Shyanne Sellers","Maryland Terrapins",68.4784331332495
"Kiki Iriafen","USC Trojans",68.4678404805307
"Grace Cave","Omaha Mavericks",68.4670775233255
"Mila Holloway","Michigan Wolverines",68.4619788103293
"Olivia Olson","Michigan Wolverines",68.4473294841622
"Darianna Littlepage-Buggs","Baylor Bears",68.3936366121609
"Lexi Fleming","Bowling Green Falcons",68.3904090886491
"Faith Blackstone","Stephen F. Austin Ladyjacks",68.3890210982805
"Ashley Chea","Princeton Tigers",68.3872019871492
"Jalynn Gregory","Middle Tennessee Blue Raiders",68.3799910999432
"Leia Beattie","Northern Arizona Lumberjacks",68.3734560932707
"Chardonnay Hartley","Utah Tech Trailblazers",68.3680829963101
"Amyah Moore Allen","Colorado-Colorado Springs Mountain Lions",68.359103949409
"Jordyn Jenkins","UTSA Roadrunners",68.3581862764701
"Kennedy Todd-Williams","Ole Miss Rebels",68.3570033900948
"Caroline Bornemann","Maine Black Bears",68.3393256488825
"Kennedy Calhoun","Saint Louis Billikens",68.3348112834697
"Amiya Joyner","East Carolina Pirates",68.330643731033
"Kate Ellis","Findlay Oilers",68.3137465092958
"Alexius Horne","SE Louisiana Lady Lions",68.311392136225
"Taisha Exanor","Monmouth Hawks",68.3101969788762
"Lexie Givens","Nevada Wolf Pack",68.3064602768015
"Maisie Burnham","Portland Pilots",68.3063785368841
"Savannah Tucker","Long Beach State Beach",68.3023578482941
"Kayla Williams","California Golden Bears",68.3016177413668
"Yaya Felder","Baylor Bears",68.2851412051983
"Kaitlyn Costner","Eastern Kentucky Colonels",68.2657589449197
"Anne Bair","Colgate Raiders",68.2405271794512
"Skylar Treadwell","Bellarmine Knights",68.234642594336
"Deja Lee","UC Irvine Anteaters",68.2285094474808
"Jalencia Pierre","SE Louisiana Lady Lions",68.2267239041306
"Aaliyah McQueen","Detroit Mercy Titans",68.2046742414703
"Allie Turner","Gonzaga Bulldogs",68.191185454156
"Gabriela Jaquez","UCLA Bruins",68.1814519246452
"Leah Mafua","Central Arkansas Sugar Bears",68.1736853188768
"Ava Renninger","Fairleigh Dickinson Knights",68.1727069013028
"Kiera Pemberton","North Dakota Fighting Hawks",68.1664476059388
"Allie Meadows","Western Illinois Leathernecks",68.1466421297032
"Olivia Pollerd","Santa Clara Broncos",68.1444211171971
"Sumayah Sugapong","UC San Diego Tritons",68.1394410147753
"Taylor Thierry","Ohio State Buckeyes",68.1380707883695
"Kendal Cheesman","Belmont Bruins",68.1368275900606
"Tyja Beans","Western Carolina Catamounts",68.1366958377488
"Anastasiia Boldyreva","Middle Tennessee Blue Raiders",68.1315310357632
"Raelyn Kelty","Concordia Nebraska Bulldogs",68.1227251213005
"Faith Masonius","Seton Hall Pirates",68.1116627428884
"Samiyah Nasir","Shepherd Rams",68.1054779361536
"Ainhoa Cea","Lipscomb Bisons",68.0700990199278
