Name,School,Rating,team_key,team_id,conference_id,conf_z,Rating_conf
Julene Royale,Jacksonville Dolphins,42.7151857142857,jacksonvilledolphins,NA,NA,0,42.71497302480221
Emma Lytle,Air Force Falcons,42.7140852897103,airforcefalcons,NA,NA,0,42.713872864193696
Emily Monson,Middle Tennessee Blue Raiders,42.696496236131,middletennesseeblueraiders,2393,11,0.1427033440452017,42.69652124070398
Isabella Gonzalez,Virginia-Lynchburg Dragons,42.6913166666667,virginialynchburgdragons,NA,NA,0,42.691109652971306
Ashala Moseberry,West Virginia Mountaineers,42.6890369565217,westvirginiamountaineers,277,8,1.627414016520187,42.68984580815013
Diarrah Sissoko,New Mexico State Aggies,42.6889009559884,newmexicostateaggies,166,11,0.1427033440452017,42.68892574545256
Erin Powell,Colorado Buffaloes,42.6705418650794,coloradobuffaloes,38,8,1.627414016520187,42.67133379807739
Avery O'Roke,NJIT Highlanders,42.6635225732601,njithighlanders,2885,1,-0.5587271973835142,42.662151923988695
Hannah Riddick,Memphis Tigers,42.6559831408929,memphistigers,NA,NA,0,42.655784338748354
Kayanna Cox,SMU Mustangs,42.6531829448329,smumustangs,2567,2,1.7410828106998104,42.65401682891334
Trinity Barnes,UNC Asheville Bulldogs,42.6331023809524,uncashevillebulldogs,2427,6,-1.3272392548610852,42.6302253221203
JaNai Coleman,UT Rio Grande Valley Vaqueros,42.6291803631151,utriograndevalleyvaqueros,292,25,-0.4220080591350636,42.6281382778002
Logann Alvar,Wyoming Cowgirls,42.6264681818182,wyomingcowgirls,NA,NA,0,42.626276066947526
Sh'Diamond McKnight,Mississippi Valley State Devilettes,42.6238149975025,mississippivalleystatedevilettes,2400,26,-1.1266675637845338,42.621370042545344
Kelis Grant,Sam Houston Bearkats,42.61865,samhoustonbearkats,2534,11,0.1427033440452017,42.61867285913517
Audrey Annee,Army Black Knights,42.6148577440675,armyblackknights,349,22,-0.505160124153813,42.61366836068856
Stanislava Kabernick,Middle Tennessee Blue Raiders,42.6107631469979,middletennesseeblueraiders,2393,11,0.1427033440452017,42.610785796020814
Raven LeXander,Stetson Hatters,42.6015369565217,stetsonhatters,NA,NA,0,42.60135036990294
De'Shawnti Thomas,Illinois State Redbirds,42.5993622294372,illinoisstateredbirds,2287,18,0.3818613853103341,42.59949841444656
Nyla Cooper,Howard Bison,42.5946686147186,howardbison,47,16,-0.9745622795118004,42.592599841533705
JoJo Nworie,Colorado Buffaloes,42.5873848484848,coloradobuffaloes,38,8,1.627414016520187,42.58810367784758
Kailyn Farrell,Chattanooga Mocs,42.5550350732601,chattanoogamocs,236,24,-0.4695431161729573,42.55399270000489
Jeanee Anderson,Alcorn State Lady Braves,42.5539571428572,alcornstateladybraves,2016,26,-1.1266675637845338,42.55170601247057
Daylee Dunn,Cincinnati Bearcats,42.5462213721061,cincinnatibearcats,2132,8,1.627414016520187,42.546905773752165
Ellie Colson,Eastern Illinois Panthers,42.5462410714286,easternillinoispanthers,2197,20,-0.46568010292818823,42.54521668557769
Georgia Cox,Eastern Illinois Panthers,42.546031547619,easternillinoispanthers,2197,20,-0.46568010292818823,42.545007419670156
Kyana Weir,Omaha Mavericks,42.5419857142857,omahamavericks,NA,NA,0,42.54181189323701
Arlisha Boston,Hampton Lady Pirates,42.5401122197247,hamptonladypirates,2261,10,-0.4891651654627686,42.53905282440216
Ines Gnahore,UC Irvine Anteaters,42.5387860653235,ucirvineanteaters,300,9,-0.518954747209004,42.53767449382377
Jamia Blake,Rider Broncs,42.5337339285714,riderbroncs,2520,13,-0.7445170244651927,42.532223714427445
Alisa Blalock,La Salle Explorers,42.52792257326,lasalleexplorers,2325,3,0.21493314091272497,42.52797466424729
Audrey Meyers,High Point Panthers,42.5285946488294,highpointpanthers,2272,6,-1.3272392548610852,42.52605298024981
Jayda Johnston,Eastern Illinois Panthers,42.5242023809524,easternillinoispanthers,2197,20,-0.46568010292818823,42.52320488154937
Jessica Wangolo,Le Moyne Dolphins,42.5248969516595,lemoynedolphins,2330,19,-1.6800381617881592,42.52179145754726
Lauren Crocker,Utah Tech Trailblazers,42.5187571428571,utahtechtrailblazers,3101,30,-0.3067245555951177,42.51804676610655
Gabriella Kelley,Pennsylvania Quakers,42.5142075914424,pennsylvaniaquakers,219,12,0.1841164774285017,42.51424557560051
Aalayah Wilson,Lindenwood Lions,42.5143148809523,lindenwoodlions,2815,20,-0.46568010292818823,42.513329286628604
Dayshawna Carter,Monmouth Hawks,42.4980767399267,monmouthhawks,2405,10,-0.4891651654627686,42.497070068884675
Gal-la Font,West Georgia Wolves,42.4734589983688,westgeorgiawolves,NA,NA,0,42.473299117264446
Kassidy Thompson,Hofstra Pride,42.4728274327122,hofstrapride,2275,10,-0.4891651654627686,42.47185155875082
Taylor Rietveld,Louisiana Tech Lady Techsters,42.4711523809524,louisianatechladytechsters,2348,11,0.1427033440452017,42.47117152440842
Sarah Hammack Fitzgerald,Old Dominion Monarchs,42.4690072954823,olddominionmonarchs,295,27,-0.06224989283771565,42.468744924739546
Izzy McPherson,Chattanooga Mocs,42.4680184065934,chattanoogamocs,236,24,-0.4695431161729573,42.46708086743966
Jovana Spasovski,Wisconsin Badgers,42.4663672619047,wisconsinbadgers,275,7,1.8898677492822935,42.467075174212
Wyvette Mayberry,Kansas Jayhawks,42.4657000600848,kansasjayhawks,2305,8,1.627414016520187,42.46632038650245
Liz Murphy,Akron Zips,42.4654190476191,akronzips,2006,14,-0.06421715182798006,42.4651545890075
Isamery Telleria,Jacksonville Dolphins,42.4624648809524,jacksonvilledolphins,NA,NA,0,42.46230716315281
Alice Dart,Washington State Cougars,42.4578190476191,washingtonstatecougars,265,29,0.15617675887640683,42.45784328053178
Alena Fusetti,Mercyhurst Lakers,42.455519047619,mercyhurstlakers,2385,19,-1.6800381617881592,42.45266722956072
Ternadoo Agatha Agba,Southern Illinois Salukis,42.4456720682096,southernillinoissalukis,79,18,0.3818613853103341,42.445785087809305
Caya Smith,Oklahoma Sooners,42.4221960474308,oklahomasooners,201,23,2.220381999275397,42.42286590418282
Rachel Kuhl,Monmouth Hawks,42.4220881469979,monmouthhawks,2405,10,-0.4891651654627686,42.421172214848646
Amany Lopez,Rider Broncs,42.4201765151515,riderbroncs,2520,13,-0.7445170244651927,42.418863902482606
Riley Wright,St. Thomas-Minnesota Tommies,42.4062336580086,stthomasminnesotatommies,NA,NA,0,42.40608669483546
Sophia Rueppell,Kennesaw State Owls,42.3990553751804,kennesawstateowls,338,11,0.1427033440452017,42.39907286175361
Sophia Lee,Sacramento State Hornets,42.3967684065934,sacramentostatehornets,16,5,-0.02468095143188219,42.396585776611204
Jordana Codio,Texas Longhorns,42.3890931818182,texaslonghorns,251,23,2.220381999275397,42.38973544669586
Saran Moschella,Navy Midshipmen,42.3904648809524,navymidshipmen,2426,22,-0.505160124153813,42.389560954004054
Kennedy Clifton,Rice Owls,42.3854172161172,riceowls,NA,NA,0,42.38527410447797
Jayda Holiman,UT Rio Grande Valley Vaqueros,42.3523190476191,utriograndevalleyvaqueros,292,25,-0.4220080591350636,42.3515775623433
Noga Haran,Stetson Hatters,42.3468434523809,stetsonhatters,NA,NA,0,42.34670729572188
Mataeya Mathern,North Dakota Fighting Hawks,42.3427483923082,northdakotafightinghawks,NA,NA,0,42.34261296025148
Natalie Mazurek,TCU Horned Frogs,42.3417036231884,tcuhornedfrogs,2628,8,1.627414016520187,42.34223343899171
Makolla Bagayegou,Houston Christian Huskies,42.3350005952381,houstonchristianhuskies,2277,25,-0.4220080591350636,42.33427566318865
Eliza Buerk,Davidson Wildcats,42.3321119565218,davidsonwildcats,2166,3,0.21493314091272497,42.3321526678416
Jada Harrison,Middle Tennessee Blue Raiders,42.3261137085137,middletennesseeblueraiders,2393,11,0.1427033440452017,42.326129620665775
Madison Watts,Loyola Marymount Lions,42.3167990884116,loyolamarymountlions,2351,29,0.15617675887640683,42.31681931749147
Imani Warren,New Mexico State Aggies,42.296225008325,newmexicostateaggies,166,11,0.1427033440452017,42.296240304140504
Dacia Jones,Louisiana Ragin' Cajuns,42.2932333333333,louisianaragincajuns,309,27,-0.06224989283771565,42.293023974124615
