Name,School,Rating
Ny'Ceara Pryor,Sacred Heart Pioneers,82
Ali Saunders,Southern Indiana Screaming Eagles,82
Tate Walters,Furman Paladins,82
Jordyn Dorsey,North Carolina A&T Aggies,82
Crystal Henderson,Georgia State Panthers,82
Stefanie Ingram,Florida Atlantic Owls,82
Mia Jacobs,Fresno State Bulldogs,82
Catherine Or,Carnegie Mellon Tartans,82
La'Nya Foster,Austin Peay Governors,82
Sarah Lamet,Saint Martin's Saints,82
Avery Collins,Concordia-Ann Arbor Cardinals,82
Grace Cave,Omaha Mavericks,82
Lexi Fleming,Bowling Green Falcons,82
Leia Beattie,Northern Arizona Lumberjacks,82
Amyah Moore Allen,Colorado-Colorado Springs Mountain Lions,82
Jordyn Jenkins,UTSA Roadrunners,82
Amiya Joyner,East Carolina Pirates,82
Kate Ellis,Findlay Oilers,82
Lexie Givens,Nevada Wolf Pack,82
Kaitlyn Costner,Eastern Kentucky Colonels,82
Skylar Treadwell,Bellarmine Knights,82
Aaliyah McQueen,Detroit Mercy Titans,82
Allie Turner,Gonzaga Bulldogs,82
Leah Mafua,Central Arkansas Sugar Bears,82
Kiera Pemberton,North Dakota Fighting Hawks,82
Olivia Pollerd,Santa Clara Broncos,82
Anastasiia Boldyreva,Middle Tennessee Blue Raiders,82
Raelyn Kelty,Concordia Nebraska Bulldogs,82
Samiyah Nasir,Shepherd Rams,82
Ainhoa Cea,Lipscomb Bisons,82
Sidney Love,UTSA Roadrunners,82
Desiree Wooten,North Texas Mean Green,82
Sydne Tolbert,West Georgia Wolves,82
Maia Jones,Saint Mary's Gaels,82
Emily Robinson,Oral Roberts Golden Eagles,82
Kennedy Harris,George Mason Patriots,82
Tatum Thompson,Boise State Broncos,82
Nevaeh Jackson,Valparaiso Beacons,82
Jailyn Banks,Belmont Bruins,82
Paris Bradley,Louisiana Tech Lady Techsters,82
Stefanie Kulesza,Massachusetts Minutewomen,82
Courtney Blakely,Middle Tennessee Blue Raiders,82
Riley Weiss,Columbia Lions,82
Kyrah Daniels,Missouri State Lady Bears,82
Kayla Cooper,Southern Illinois Salukis,82
Olivia Olsen,Providence Friars,82
Azzi Fudd,UConn Huskies,82
Jada Eads,Seton Hall Pirates,82
Oluchi Okananwa,Duke Blue Devils,82
Syla Swords,Michigan Wolverines,82
Tyi Skinner,Arizona State Sun Devils,82
Maye Toure,Utah Utes,82
Rashunda Jones,Purdue Boilermakers,82
Carleigh Wenzel,Virginia Tech Hokies,82
Matilda Ekh,Virginia Tech Hokies,82
Tajianna Roberts,Louisville Cardinals,82
Sophie Burrows,Syracuse Orange,82
Destini Lombard,Purdue Boilermakers,82
Audi Crooks,Iowa State Cyclones,82
Hannah Stuelke,Iowa Hawkeyes,82
Ashlon Jackson,Duke Blue Devils,82
Chloe Kitts,South Carolina Gamecocks,82
Gabby Elliott,Penn State Lady Lions,82
Sarah Te-Biasu,Maryland Terrapins,82
Kaety L'Amoreaux,Fairfield Stags,81
Anna Foley,Quinnipiac Bobcats,81
Zanai Barnett-Gay,Navy Midshipmen,81
Kayla Cooper,UAlbany Great Danes,81
Macy McGlone,Eastern Illinois Panthers,81
Caia Elisaldez,Chattanooga Mocs,81
Ashley Sofilkanich,Bucknell Bison,81
Trinity Moore,Stephen F. Austin Ladyjacks,81
Mia Nicastro,Western Illinois Leathernecks,81
A'Vyonna Kinsey,Miami (OH)-Hamilton Harriers,81
Enjulina Gonzalez,Miami (OH) RedHawks,81
Imani Rothschild,Dillard Blue Devils,81
Hannah Spitzley,Western Michigan Broncos,81
Sammi Mikonowicz,Toledo Rockets,81
Fiona Snashall,Regis Rangers,81
Jaaucklyn Moore,North Texas Mean Green,81
Cheyanne Bonilla,Sul Ross State Lobos,81
Jade Upshaw,Central Arkansas Sugar Bears,81
Jakayla Johnson,UL Monroe Warhawks,81
Mickayla Perdue,Cleveland State Vikings,81
Taleyah Jones,Oral Roberts Golden Eagles,81
Jasmine Kondrakiewicz,Green Bay Phoenix,81
Kacey Spink,Idaho State Bengals,81
Mya Babbitt,Kent State Golden Flashes,81
Zada Porter,App State Mountaineers,81
Brianne Foley,Johnson & Wales (RI) Griffins,81
